                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0408,                 2.8918,                 1.0951,                0.01613,                0.16895,                0.03915,                0.02453,                0.98768,                 3.8076,                 1.0562,             0.00028179,             0.00028179,             0.00028179
                      2,                0.88001,                 1.0588,                 1.0065,                0.05256,                0.57843,                0.11271,                 0.0792,                0.93511,                 3.6037,                 1.0171,             0.00056133,             0.00056133,             0.00056133
                      3,                 0.8762,                0.84012,                 1.0121,                0.08259,                0.94092,                0.68188,                0.53122,                0.86423,                 2.8186,                0.98645,             0.00082935,             0.00082935,             0.00082935
                      4,                0.85596,                0.75403,                0.99266,                0.81638,                0.63089,                0.82037,                0.63266,                0.81074,                 1.7371,                0.98158,             0.00085501,             0.00085501,             0.00085501
                      5,                0.84185,                0.68425,                0.99335,                0.83069,                0.85845,                0.88993,                0.67142,                0.82775,                 1.0071,                0.99646,             0.00083701,             0.00083701,             0.00083701
                      6,                0.83785,                0.63859,                0.99612,                0.88808,                0.88621,                0.92965,                0.69613,                0.82947,                0.76374,                 1.0075,             0.00081901,             0.00081901,             0.00081901
                      7,                0.81818,                0.60517,                0.98029,                0.91284,                0.90093,                0.94253,                0.71649,                 0.7962,                0.59178,                0.98085,             0.00080101,             0.00080101,             0.00080101
                      8,                0.80115,                0.56915,                0.97834,                0.90632,                0.90081,                0.94405,                0.72906,                0.76098,                0.54558,                0.96942,             0.00078301,             0.00078301,             0.00078301
                      9,                0.79647,                0.55498,                0.97362,                0.93487,                0.92694,                0.95429,                0.72526,                0.79283,                0.52868,                0.98133,             0.00076501,             0.00076501,             0.00076501
                     10,                0.77571,                0.52742,                0.96765,                0.89394,                0.88016,                0.93161,                0.71881,                0.73999,                0.59283,                0.95602,             0.00074702,             0.00074702,             0.00074702
                     11,                0.77925,                0.52064,                0.96446,                0.88457,                0.90615,                0.93353,                0.71585,                0.78244,                0.57227,                0.97129,             0.00072902,             0.00072902,             0.00072902
                     12,                0.79016,                  0.511,                0.97806,                0.92759,                0.94242,                0.96973,                0.73832,                0.77814,                0.49227,                0.97786,             0.00071102,             0.00071102,             0.00071102
                     13,                0.76508,                0.48728,                0.96006,                0.91234,                0.95102,                0.96842,                0.73906,                0.78637,                0.48469,                0.98285,             0.00069302,             0.00069302,             0.00069302
                     14,                 0.7687,                0.47965,                0.95915,                0.93771,                0.93421,                0.96422,                0.73808,                0.77536,                0.49417,                0.97292,             0.00067502,             0.00067502,             0.00067502
                     15,                 0.7493,                0.46783,                0.95499,                0.92946,                 0.9448,                0.96881,                0.74835,                0.77236,                0.44574,                0.96647,             0.00065703,             0.00065703,             0.00065703
                     16,                0.75141,                0.44904,                0.95326,                 0.9361,                0.93776,                0.96645,                0.72969,                0.81512,                0.44555,                0.98664,             0.00063903,             0.00063903,             0.00063903
                     17,                0.76214,                0.44937,                0.95423,                0.92936,                0.93227,                0.96531,                0.74884,                0.75983,                0.44043,                0.97226,             0.00062103,             0.00062103,             0.00062103
                     18,                0.75701,                0.43349,                0.95424,                0.93984,                 0.9527,                0.97683,                0.76311,                0.75235,                0.41488,                0.96423,             0.00060303,             0.00060303,             0.00060303
                     19,                0.73237,                0.42677,                0.94849,                0.95856,                0.95251,                0.98054,                0.76878,                0.73881,                 0.4159,                0.95452,             0.00058503,             0.00058503,             0.00058503
                     20,                 0.7335,                0.42612,                  0.945,                0.94519,                0.95066,                0.97345,                0.75591,                 0.7647,                0.40383,                0.96623,             0.00056703,             0.00056703,             0.00056703
                     21,                0.72367,                0.41232,                0.94251,                0.93381,                0.93479,                0.95806,                0.73695,                0.77501,                0.46763,                0.96344,             0.00054904,             0.00054904,             0.00054904
                     22,                0.71418,                0.40843,                0.93782,                0.93725,                0.95406,                0.97171,                0.75692,                 0.7627,                 0.4079,                0.96481,             0.00053104,             0.00053104,             0.00053104
                     23,                0.71449,                0.40439,                0.94698,                0.93784,                0.95911,                 0.9772,                 0.7648,                0.74628,                0.39499,                0.95393,             0.00051304,             0.00051304,             0.00051304
                     24,                0.71248,                0.39952,                0.94254,                0.94906,                0.95226,                0.97621,                0.76588,                0.74138,                0.41689,                0.96781,             0.00049504,             0.00049504,             0.00049504
                     25,                0.71457,                0.38797,                0.94059,                0.94506,                0.96382,                0.97691,                0.76561,                0.76709,                0.38568,                0.97131,             0.00047704,             0.00047704,             0.00047704
                     26,                 0.7062,                0.37722,                0.93176,                0.94978,                0.97242,                0.98075,                0.77529,                 0.7487,                0.35546,                0.95833,             0.00045904,             0.00045904,             0.00045904
                     27,                0.68917,                0.37374,                0.93068,                0.95804,                0.95916,                 0.9811,                0.77007,                0.75475,                0.38878,                 0.9571,             0.00044105,             0.00044105,             0.00044105
                     28,                0.68751,                0.37171,                0.92944,                0.95703,                0.96067,                0.98162,                 0.7713,                0.75704,                0.36779,                0.96403,             0.00042305,             0.00042305,             0.00042305
                     29,                0.69172,                0.37252,                0.93549,                0.94778,                0.96739,                0.97467,                0.75998,                0.75714,                0.38174,                0.96899,             0.00040505,             0.00040505,             0.00040505
                     30,                0.68483,                0.36495,                 0.9319,                0.94373,                0.96857,                0.97508,                0.76906,                0.74698,                0.37664,                0.96566,             0.00038705,             0.00038705,             0.00038705
                     31,                0.66728,                0.35244,                 0.9172,                 0.9448,                0.96493,                 0.9751,                0.77139,                0.74053,                0.38175,                0.96588,             0.00036905,             0.00036905,             0.00036905
                     32,                0.68185,                0.36076,                0.92893,                0.94405,                0.96905,                0.97697,                 0.7648,                 0.7682,                0.38235,                0.97265,             0.00035106,             0.00035106,             0.00035106
                     33,                0.68164,                0.34919,                0.93379,                0.95984,                0.96146,                0.98023,                  0.764,                0.76728,                0.35831,                0.95613,             0.00033306,             0.00033306,             0.00033306
                     34,                0.66874,                0.34242,                0.91825,                0.94589,                0.96183,                0.97718,                0.77205,                0.74899,                 0.3625,                0.95106,             0.00031506,             0.00031506,             0.00031506
                     35,                0.65256,                0.32912,                0.90963,                0.94982,                0.96906,                0.97975,                0.77692,                0.74862,                0.35654,                0.95331,             0.00029706,             0.00029706,             0.00029706
                     36,                0.64284,                0.32202,                0.91118,                0.95602,                0.97071,                0.98109,                0.77225,                0.76262,                0.34787,                0.96263,             0.00027906,             0.00027906,             0.00027906
                     37,                0.64016,                0.32308,                0.90818,                0.95906,                0.96562,                 0.9813,                0.77929,                0.74696,                0.33835,                0.96087,             0.00026106,             0.00026106,             0.00026106
                     38,                0.63777,                0.32223,                0.91239,                0.95981,                0.96537,                 0.9798,                0.77244,                0.75669,                0.33437,                0.97054,             0.00024307,             0.00024307,             0.00024307
                     39,                0.63175,                 0.3138,                0.91519,                0.94873,                0.96517,                0.97305,                0.76903,                0.74636,                0.34767,                0.96939,             0.00022507,             0.00022507,             0.00022507
                     40,                0.62904,                0.30959,                0.90912,                0.95086,                0.95925,                0.97412,                0.77106,                0.75328,                  0.342,                0.97174,             0.00020707,             0.00020707,             0.00020707
                     41,                0.61794,                0.30867,                0.90395,                 0.9439,                0.96043,                0.97623,                0.77189,                0.74858,                0.35376,                0.95484,             0.00018907,             0.00018907,             0.00018907
                     42,                0.60877,                0.29303,                0.89546,                0.94285,                0.96983,                0.97953,                0.77216,                0.75539,                0.35714,                0.96473,             0.00017107,             0.00017107,             0.00017107
                     43,                0.60285,                0.28592,                0.89742,                0.94399,                0.97925,                0.98084,                0.77918,                0.74485,                 0.3358,                0.96132,             0.00015308,             0.00015308,             0.00015308
                     44,                0.59311,                0.27985,                0.89197,                0.95601,                0.96572,                0.97893,                0.77467,                0.75286,                0.33204,                0.96036,             0.00013508,             0.00013508,             0.00013508
                     45,                0.59382,                0.27992,                0.89039,                0.95131,                0.97041,                 0.9788,                0.77916,                0.73974,                 0.3265,                0.95237,             0.00011708,             0.00011708,             0.00011708
                     46,                0.58581,                 0.2731,                0.88955,                0.96738,                0.95914,                0.98035,                0.77866,                 0.7463,                0.32313,                0.96559,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.56909,                0.26653,                0.88335,                0.96475,                0.96364,                0.97969,                0.78015,                0.74753,                0.32233,                0.96483,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.57181,                0.26327,                0.88756,                0.96585,                 0.9645,                0.98124,                0.78016,                0.75187,                0.32044,                0.96863,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.56325,                0.25825,                0.88061,                0.96145,                0.96671,                0.98201,                0.78104,                 0.7551,                0.32153,                0.96756,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.55485,                0.25599,                0.88345,                0.96448,                0.96736,                0.98206,                0.78251,                0.75172,                  0.319,                0.96712,             2.7088e-05,             2.7088e-05,             2.7088e-05
